GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-gateway,com.talentica.paymentgateway.entity,Transaction,0,359,0,40,0,106,0,78,0,58
payment-gateway,com.talentica.paymentgateway.entity,AuditLog,112,273,33,11,16,80,28,37,6,37
payment-gateway,com.talentica.paymentgateway.entity,Webhook,94,371,25,11,12,117,20,51,3,50
payment-gateway,com.talentica.paymentgateway.entity,BaseEntity,14,70,5,5,1,17,5,10,1,9
payment-gateway,com.talentica.paymentgateway.entity,TransactionType,0,39,0,0,0,7,0,1,0,1
payment-gateway,com.talentica.paymentgateway.entity,SubscriptionInvoice,61,365,24,12,11,99,22,44,4,44
payment-gateway,com.talentica.paymentgateway.entity,MapToJsonConverter,43,12,8,0,10,3,6,1,2,1
payment-gateway,com.talentica.paymentgateway.entity,WebhookStatus,0,33,0,0,0,6,0,1,0,1
payment-gateway,com.talentica.paymentgateway.entity,User,0,196,0,16,0,66,0,37,0,29
payment-gateway,com.talentica.paymentgateway.entity,Subscription,63,382,19,28,13,115,19,61,2,53
payment-gateway,com.talentica.paymentgateway.entity,Order,13,332,11,21,1,95,11,51,0,46
payment-gateway,com.talentica.paymentgateway.entity,Customer,0,350,5,27,0,118,5,73,0,62
payment-gateway,com.talentica.paymentgateway.entity,ApiKey,53,122,7,5,16,42,9,25,4,24
payment-gateway,com.talentica.paymentgateway.entity,SubscriptionStatus,0,39,0,0,0,7,0,1,0,1
payment-gateway,com.talentica.paymentgateway.entity,PaymentMethod,61,190,11,3,11,73,9,39,2,39
payment-gateway,com.talentica.paymentgateway.entity,PaymentStatus,0,69,0,0,0,12,0,1,0,1
payment-gateway,com.talentica.paymentgateway.entity,SubscriptionPlan,63,233,8,9,10,70,9,38,1,36
payment-gateway,com.talentica.paymentgateway.dto.subscription,ARBSubscriptionResponse,0,113,0,0,0,38,0,26,0,26
payment-gateway,com.talentica.paymentgateway.dto.subscription,CancelSubscriptionRequest,17,80,0,0,3,28,1,16,1,16
payment-gateway,com.talentica.paymentgateway.dto.subscription,SubscriptionResponse,0,245,0,0,0,99,0,66,0,66
payment-gateway,com.talentica.paymentgateway.dto.subscription,ProrationCalculation,22,172,2,6,3,60,4,39,2,37
payment-gateway,com.talentica.paymentgateway.dto.subscription,UpdateSubscriptionRequest,20,100,10,4,2,34,6,22,1,20
payment-gateway,com.talentica.paymentgateway.dto.subscription,CreateSubscriptionRequest,20,101,0,0,5,37,1,22,1,22
payment-gateway,com.talentica.paymentgateway.dto.subscription,ARBSubscriptionRequest,12,41,0,0,5,14,1,10,1,10
payment-gateway,com.talentica.paymentgateway.dto.subscription,CreatePlanRequest,87,155,10,0,12,61,9,32,4,32
payment-gateway,com.talentica.paymentgateway.dto.subscription,PlanResponse,0,203,0,0,0,81,0,54,0,54
payment-gateway,com.talentica.paymentgateway.dto.webhook,WebhookResponse.WebhookError,0,54,0,0,0,21,0,11,0,11
payment-gateway,com.talentica.paymentgateway.dto.webhook,WebhookResponse,1,200,2,2,0,51,2,27,0,27
payment-gateway,com.talentica.paymentgateway.dto.webhook,AuthorizeNetWebhookRequest.AuthorizeNetPayload,0,190,0,0,0,77,0,52,0,52
